Periode,Provinsi,Luas Panen (Ha),Produksi Padi (Ton-GKG),Produktivitas (Ton/Ha)
2019-11-01,KALIMANTAN TENGAH,1573.16,5762.31,3.66
2019-12-01,KALIMANTAN TENGAH,3990.17,16114.21,4.04
2020-01-01,KALIMANTAN TENGAH,3427.44,7309.61,2.13
2020-02-01,KALIMANTAN TENGAH,16630.07,39052.79,2.35
2020-03-01,KALIMANTAN TENGAH,16763.37,42099.09,2.51
2020-04-01,KALIMANTAN TENGAH,15264.55,38154.94,2.5
2020-05-01,KALIMANTAN TENGAH,11711.77,36432.96,3.11
2020-06-01,KALIMANTAN TENGAH,5273.39,15062.06,2.86
2020-07-01,KALIMANTAN TENGAH,8834.46,28019.27,3.17
2020-08-01,KALIMANTAN TENGAH,27980.52,98239.68,3.51
2020-09-01,KALIMANTAN TENGAH,27275.12,112403.21,4.12
2020-10-01,KALIMANTAN TENGAH,4930.05,22056.96,4.47
2020-11-01,KALIMANTAN TENGAH,2105.11,8256.85,3.92
2020-12-01,KALIMANTAN TENGAH,3079.20,10864.58,3.53
2021-01-01,KALIMANTAN TENGAH,4226.84,13390.79,3.17
2021-02-01,KALIMANTAN TENGAH,9374.30,27956.57,2.98
2021-03-01,KALIMANTAN TENGAH,16003.53,45468.53,2.84
2021-04-01,KALIMANTAN TENGAH,12614.87,34324.85,2.72
2021-05-01,KALIMANTAN TENGAH,6416.62,20050.64,3.12
2021-06-01,KALIMANTAN TENGAH,4097.23,12134.79,2.96
2021-07-01,KALIMANTAN TENGAH,11435.72,34986.72,3.06
2021-08-01,KALIMANTAN TENGAH,30013.30,92499.96,3.08
2021-09-01,KALIMANTAN TENGAH,21665.38,67504.21,3.12
2021-10-01,KALIMANTAN TENGAH,8317.75,27019.38,3.25
2021-11-01,KALIMANTAN TENGAH,1054.83,3671.24,3.48
2021-12-01,KALIMANTAN TENGAH,649.68,2181.87,3.36
2018-01-01,KALIMANTAN SELATAN,2427.24,11144.34,4.59
2018-02-01,KALIMANTAN SELATAN,6506.53,33678.24,5.18
2018-03-01,KALIMANTAN SELATAN,23291.55,120421.16,5.17
2018-04-01,KALIMANTAN SELATAN,31177.60,149041.36,4.78
2018-05-01,KALIMANTAN SELATAN,36067.42,147295.80,4.08
2018-06-01,KALIMANTAN SELATAN,27205.30,104327.06,3.83
2018-07-01,KALIMANTAN SELATAN,52871.88,192822.28,3.65
2018-08-01,KALIMANTAN SELATAN,70479.66,257090.20,3.65
2018-09-01,KALIMANTAN SELATAN,42858.31,166643.57,3.89
2018-10-01,KALIMANTAN SELATAN,22279.40,109602.08,4.92
2018-11-01,KALIMANTAN SELATAN,6630.31,29252.65,4.41
2018-12-01,KALIMANTAN SELATAN,1296.01,6173.67,4.76
2019-01-01,KALIMANTAN SELATAN,5509.01,24427.93,4.43
2019-02-01,KALIMANTAN SELATAN,8993.83,39795.83,4.42
2019-03-01,KALIMANTAN SELATAN,23166.70,108226.26,4.67
2019-04-01,KALIMANTAN SELATAN,31182.56,136273.68,4.37
2019-05-01,KALIMANTAN SELATAN,38634.52,138310.13,3.58
2019-06-01,KALIMANTAN SELATAN,41329.48,148498.23,3.59
2019-07-01,KALIMANTAN SELATAN,50434.82,174644.47,3.46
2019-08-01,KALIMANTAN SELATAN,77908.34,267387.60,3.43
2019-09-01,KALIMANTAN SELATAN,46598.53,178914.20,3.84
2019-10-01,KALIMANTAN SELATAN,18754.23,81431.64,4.34
2019-11-01,KALIMANTAN SELATAN,9844.46,32870.16,3.34
2019-12-01,KALIMANTAN SELATAN,3889.47,12081.69,3.11
2020-01-01,KALIMANTAN SELATAN,603.46,2397.53,3.97
2020-02-01,KALIMANTAN SELATAN,5102.91,15768.45,3.09
2020-03-01,KALIMANTAN SELATAN,16824.08,72062.50,4.28
2020-04-01,KALIMANTAN SELATAN,24147.35,97434.93,4.04
2020-05-01,KALIMANTAN SELATAN,24897.15,96371.14,3.87
2020-06-01,KALIMANTAN SELATAN,26507.92,100116.03,3.78
2020-07-01,KALIMANTAN SELATAN,19205.33,74497.92,3.88
2020-08-01,KALIMANTAN SELATAN,83634.93,316941.88,3.79
2020-09-01,KALIMANTAN SELATAN,46068.79,175966.38,3.82
2020-10-01,KALIMANTAN SELATAN,23021.18,104112.20,4.52
2020-11-01,KALIMANTAN SELATAN,17208.83,81899.60,4.76
2020-12-01,KALIMANTAN SELATAN,2614.42,12738.10,4.87
2021-01-01,KALIMANTAN SELATAN,915.67,3877.02,4.23
2021-02-01,KALIMANTAN SELATAN,2404.16,9974.29,4.15
2021-03-01,KALIMANTAN SELATAN,14581.21,68722.54,4.71
2021-04-01,KALIMANTAN SELATAN,21670.44,102079.41,4.71
2021-05-01,KALIMANTAN SELATAN,18633.93,76467.34,4.1
2021-06-01,KALIMANTAN SELATAN,20301.95,79922.49,3.94
2021-07-01,KALIMANTAN SELATAN,18682.41,72635.43,3.89
2021-08-01,KALIMANTAN SELATAN,57970.16,219644.40,3.79
2021-09-01,KALIMANTAN SELATAN,55872.46,208250.83,3.73
2021-10-01,KALIMANTAN SELATAN,33014.73,131503.60,3.98
2021-11-01,KALIMANTAN SELATAN,9560.37,40601.47,4.25
2021-12-01,KALIMANTAN SELATAN,656.10,2634.73,4.02
2018-01-01,KALIMANTAN TIMUR,1024.04,3558.65,3.48
2018-02-01,KALIMANTAN TIMUR,6377.28,29727.46,4.66
2018-03-01,KALIMANTAN TIMUR,11246.62,47216.01,4.2
2018-04-01,KALIMANTAN TIMUR,11514.18,46501.12,4.04
2018-05-01,KALIMANTAN TIMUR,4289.03,16104.84,3.75
2018-06-01,KALIMANTAN TIMUR,1453.48,5737.88,3.95
2018-07-01,KALIMANTAN TIMUR,3520.61,14420.46,4.1
2018-08-01,KALIMANTAN TIMUR,12890.80,54175.40,4.2
2018-09-01,KALIMANTAN TIMUR,7034.49,25410.77,3.61
2018-10-01,KALIMANTAN TIMUR,2856.57,10211.79,3.57
2018-11-01,KALIMANTAN TIMUR,1677.88,5911.09,3.52
2018-12-01,KALIMANTAN TIMUR,1076.18,3798.41,3.53
2019-01-01,KALIMANTAN TIMUR,2046.76,7817.50,3.82
2019-02-01,KALIMANTAN TIMUR,7012.82,27062.01,3.86
2019-03-01,KALIMANTAN TIMUR,16374.62,63401.63,3.87
2019-04-01,KALIMANTAN TIMUR,8091.82,32089.20,3.97
2019-05-01,KALIMANTAN TIMUR,3597.76,11664.16,3.24
2019-06-01,KALIMANTAN TIMUR,1489.89,5153.36,3.46
2019-07-01,KALIMANTAN TIMUR,5061.74,17458.07,3.45
2019-08-01,KALIMANTAN TIMUR,12066.85,40242.61,3.33
2019-09-01,KALIMANTAN TIMUR,7933.12,27831.18,3.51
2019-10-01,KALIMANTAN TIMUR,3827.84,12862.77,3.36
2019-11-01,KALIMANTAN TIMUR,915.52,3535.75,3.86
2019-12-01,KALIMANTAN TIMUR,1289.01,4700.13,3.65
2020-01-01,KALIMANTAN TIMUR,827.03,2592.63,3.13
2020-02-01,KALIMANTAN TIMUR,4871.70,18829.28,3.87
2020-03-01,KALIMANTAN TIMUR,14821.61,55023.29,3.71
2020-04-01,KALIMANTAN TIMUR,8284.54,30581.52,3.69
2020-05-01,KALIMANTAN TIMUR,4763.87,16452.73,3.45
2020-06-01,KALIMANTAN TIMUR,2589.49,8687.13,3.35
2020-07-01,KALIMANTAN TIMUR,2310.16,9545.65,4.13
2020-08-01,KALIMANTAN TIMUR,12489.12,45034.20,3.61
2020-09-01,KALIMANTAN TIMUR,11482.76,36978.90,3.22
2020-10-01,KALIMANTAN TIMUR,5626.59,19064.48,3.39
2020-11-01,KALIMANTAN TIMUR,2704.88,9646.08,3.57
2020-12-01,KALIMANTAN TIMUR,2796.69,9998.63,3.58
2021-01-01,KALIMANTAN TIMUR,1365.55,4972.92,3.64
2021-02-01,KALIMANTAN TIMUR,10151.58,36380.96,3.58
2021-03-01,KALIMANTAN TIMUR,16009.54,59627.47,3.72
2021-04-01,KALIMANTAN TIMUR,6125.15,22713.78,3.71
2021-05-01,KALIMANTAN TIMUR,1350.80,4881.68,3.61
2021-06-01,KALIMANTAN TIMUR,1800.00,6657.74,3.7
2021-07-01,KALIMANTAN TIMUR,5031.74,18225.32,3.62
2021-08-01,KALIMANTAN TIMUR,11047.38,39875.99,3.61
2021-09-01,KALIMANTAN TIMUR,10788.04,41735.31,3.87
2021-10-01,KALIMANTAN TIMUR,1472.13,5718.47,3.88
2021-11-01,KALIMANTAN TIMUR,623.97,2117.83,3.39
2021-12-01,KALIMANTAN TIMUR,503.58,1770.49,3.52
2018-01-01,KALIMANTAN UTARA,2610.14,7791.85,2.99
2018-02-01,KALIMANTAN UTARA,2897.51,8072.59,2.79
2018-03-01,KALIMANTAN UTARA,1788.60,5770.10,3.23
2018-04-01,KALIMANTAN UTARA,314.46,858.78,2.73
2018-05-01,KALIMANTAN UTARA,514.72,1831.95,3.56
2018-06-01,KALIMANTAN UTARA,676.78,2437.77,3.6
2018-07-01,KALIMANTAN UTARA,448.18,1637.29,3.65
2018-08-01,KALIMANTAN UTARA,554.23,1929.63,3.48
2018-09-01,KALIMANTAN UTARA,513.73,1937.09,3.77
2018-10-01,KALIMANTAN UTARA,491.36,1864.02,3.79
2018-11-01,KALIMANTAN UTARA,500.74,1902.78,3.8
2018-12-01,KALIMANTAN UTARA,2396.55,9029.68,3.77
2019-01-01,KALIMANTAN UTARA,1359.13,3717.35,2.74
2019-02-01,KALIMANTAN UTARA,2285.19,6107.17,2.67
2019-03-01,KALIMANTAN UTARA,844.66,2364.41,2.8
2019-04-01,KALIMANTAN UTARA,322.01,899.63,2.79
2019-05-01,KALIMANTAN UTARA,179.08,534.35,2.98
2019-06-01,KALIMANTAN UTARA,480.97,1419.96,2.95
2019-07-01,KALIMANTAN UTARA,262.36,761.58,2.9
2019-08-01,KALIMANTAN UTARA,627.98,2340.75,3.73
2019-09-01,KALIMANTAN UTARA,609.79,2443.08,4.01
2019-10-01,KALIMANTAN UTARA,1247.72,4683.13,3.75
2019-11-01,KALIMANTAN UTARA,394.96,1519.71,3.85
2019-12-01,KALIMANTAN UTARA,1680.85,6566.07,3.91
2020-01-01,KALIMANTAN UTARA,1499.95,5036.78,3.36
2020-02-01,KALIMANTAN UTARA,1417.29,4457.00,3.14
2020-03-01,KALIMANTAN UTARA,1808.48,5717.59,3.16
2020-04-01,KALIMANTAN UTARA,725.29,2423.07,3.34
2020-05-01,KALIMANTAN UTARA,976.14,3065.84,3.14
2020-06-01,KALIMANTAN UTARA,321.68,1039.66,3.23
2020-07-01,KALIMANTAN UTARA,262.28,901.71,3.44
2020-08-01,KALIMANTAN UTARA,477.26,1598.18,3.35
2020-09-01,KALIMANTAN UTARA,754.33,3005.28,3.98
2020-10-01,KALIMANTAN UTARA,580.34,2350.55,4.05
2020-11-01,KALIMANTAN UTARA,213.92,877.58,4.1
2020-12-01,KALIMANTAN UTARA,846.09,3101.04,3.67
2021-01-01,KALIMANTAN UTARA,2092.16,7112.95,3.4
2021-02-01,KALIMANTAN UTARA,1633.92,5314.96,3.25
2021-03-01,KALIMANTAN UTARA,1586.58,5248.73,3.31
2021-04-01,KALIMANTAN UTARA,348.21,1149.35,3.3
2021-05-01,KALIMANTAN UTARA,214.36,663.82,3.1
2021-06-01,KALIMANTAN UTARA,614.55,1890.91,3.08
2021-07-01,KALIMANTAN UTARA,639.39,2076.48,3.25
2021-08-01,KALIMANTAN UTARA,412.63,1408.38,3.41
2021-09-01,KALIMANTAN UTARA,303.17,1198.11,3.95
2021-10-01,KALIMANTAN UTARA,434.78,1691.55,3.89
2021-11-01,KALIMANTAN UTARA,173.91,560.90,3.23
2021-12-01,KALIMANTAN UTARA,427.17,1651.17,3.87
2018-01-01,SULAWESI UTARA,5708.82,26677.21,4.67
2018-02-01,SULAWESI UTARA,3251.55,14652.50,4.51
2018-03-01,SULAWESI UTARA,9161.01,41605.09,4.54
2018-04-01,SULAWESI UTARA,6455.34,29068.24,4.5
2018-05-01,SULAWESI UTARA,7117.29,33347.36,4.69
2018-06-01,SULAWESI UTARA,5240.84,25906.20,4.94
2018-07-01,SULAWESI UTARA,6147.96,30869.56,5.02
2018-08-01,SULAWESI UTARA,6946.41,32351.24,4.66
2018-09-01,SULAWESI UTARA,5487.56,25036.49,4.56
2018-10-01,SULAWESI UTARA,4696.47,21229.69,4.52
2018-11-01,SULAWESI UTARA,4710.29,21662.88,4.6
2018-12-01,SULAWESI UTARA,5429.08,24523.28,4.52
2019-01-01,SULAWESI UTARA,4717.81,18933.89,4.01
2019-02-01,SULAWESI UTARA,3070.00,12408.29,4.04
2019-03-01,SULAWESI UTARA,6842.40,27962.03,4.09
2019-04-01,SULAWESI UTARA,7686.25,31453.71,4.09
2019-05-01,SULAWESI UTARA,5674.47,25953.08,4.57
2019-06-01,SULAWESI UTARA,4907.89,22265.70,4.54
2019-07-01,SULAWESI UTARA,4099.61,18464.06,4.5
2019-08-01,SULAWESI UTARA,7923.68,36100.40,4.56
2019-09-01,SULAWESI UTARA,4529.44,22174.42,4.9
2019-10-01,SULAWESI UTARA,4566.99,22560.91,4.94
2019-11-01,SULAWESI UTARA,3911.58,19302.14,4.93
2019-12-01,SULAWESI UTARA,4090.27,20197.68,4.94
2020-01-01,SULAWESI UTARA,3362.23,15226.35,4.53
2020-02-01,SULAWESI UTARA,4130.64,18663.51,4.52
2020-03-01,SULAWESI UTARA,6047.79,27704.72,4.58
2020-04-01,SULAWESI UTARA,7262.80,33014.90,4.55
2020-05-01,SULAWESI UTARA,5083.86,19802.77,3.9
2020-06-01,SULAWESI UTARA,3508.01,13766.22,3.92
2020-07-01,SULAWESI UTARA,5952.26,22685.62,3.81
2020-08-01,SULAWESI UTARA,6806.49,25361.47,3.73
2020-09-01,SULAWESI UTARA,4962.04,18178.21,3.66
2020-10-01,SULAWESI UTARA,4901.68,18305.48,3.73
2020-11-01,SULAWESI UTARA,5219.95,19359.55,3.71
2020-12-01,SULAWESI UTARA,4590.11,16810.68,3.66
2021-01-01,SULAWESI UTARA,4561.15,17351.05,3.8
2021-02-01,SULAWESI UTARA,3661.55,13784.02,3.76
2021-03-01,SULAWESI UTARA,5976.51,21985.19,3.68
2021-04-01,SULAWESI UTARA,6212.29,23197.84,3.73
2021-05-01,SULAWESI UTARA,5829.24,24091.02,4.13
2021-06-01,SULAWESI UTARA,4486.52,18378.89,4.1
2021-07-01,SULAWESI UTARA,3597.71,14786.53,4.11
2021-08-01,SULAWESI UTARA,5167.23,21523.37,4.17
2021-09-01,SULAWESI UTARA,5472.85,20894.59,3.82
2021-10-01,SULAWESI UTARA,5795.12,22085.66,3.81
2021-11-01,SULAWESI UTARA,4550.16,18056.13,3.97
2021-12-01,SULAWESI UTARA,3872.19,16750.47,4.33
2018-01-01,SULAWESI TENGAH,12872.07,58848.93,4.57
2018-02-01,SULAWESI TENGAH,12778.74,58295.07,4.56
2018-03-01,SULAWESI TENGAH,17810.35,81992.25,4.6
2018-04-01,SULAWESI TENGAH,25793.59,118934.07,4.61
2018-05-01,SULAWESI TENGAH,24048.41,104788.46,4.36
2018-06-01,SULAWESI TENGAH,9627.20,42626.62,4.43
2018-07-01,SULAWESI TENGAH,11929.68,59816.62,5.01
2018-08-01,SULAWESI TENGAH,13494.63,64345.22,4.77
2018-09-01,SULAWESI TENGAH,15918.14,73092.40,4.59
2018-10-01,SULAWESI TENGAH,24088.27,109525.94,4.55
2018-11-01,SULAWESI TENGAH,22581.45,105466.10,4.67
2018-12-01,SULAWESI TENGAH,10336.71,49246.98,4.76
2019-01-01,SULAWESI TENGAH,8874.58,40109.24,4.52
2019-02-01,SULAWESI TENGAH,9917.69,45609.94,4.6
2019-03-01,SULAWESI TENGAH,15394.46,71621.59,4.65
2019-04-01,SULAWESI TENGAH,21879.65,98178.90,4.49
2019-05-01,SULAWESI TENGAH,23743.76,108794.88,4.58
2019-06-01,SULAWESI TENGAH,13822.22,63954.70,4.63
2019-07-01,SULAWESI TENGAH,9357.60,43618.81,4.66
2019-08-01,SULAWESI TENGAH,7743.38,36494.24,4.71
2019-09-01,SULAWESI TENGAH,15936.27,70807.07,4.44
2019-10-01,SULAWESI TENGAH,27028.62,120938.10,4.47
2019-11-01,SULAWESI TENGAH,24028.42,108139.25,4.5
2019-12-01,SULAWESI TENGAH,8373.79,36637.58,4.38
2020-01-01,SULAWESI TENGAH,6431.06,28097.11,4.37
2020-02-01,SULAWESI TENGAH,6446.52,29059.48,4.51
2020-03-01,SULAWESI TENGAH,17021.08,79267.30,4.66
2020-04-01,SULAWESI TENGAH,24798.44,111077.56,4.48
2020-05-01,SULAWESI TENGAH,22332.47,100378.56,4.49
2020-06-01,SULAWESI TENGAH,10788.28,47958.07,4.45
2020-07-01,SULAWESI TENGAH,7470.44,32328.23,4.33
2020-08-01,SULAWESI TENGAH,15759.00,71052.68,4.51
2020-09-01,SULAWESI TENGAH,15735.59,66519.37,4.23
2020-10-01,SULAWESI TENGAH,26403.21,116377.86,4.41
2020-11-01,SULAWESI TENGAH,19869.39,88286.49,4.44
2020-12-01,SULAWESI TENGAH,5011.46,21846.13,4.36
2021-01-01,SULAWESI TENGAH,9617.97,47199.02,4.91
2021-02-01,SULAWESI TENGAH,15408.84,77616.20,5.04
2021-03-01,SULAWESI TENGAH,10402.93,49268.11,4.74
2021-04-01,SULAWESI TENGAH,19825.13,89592.63,4.52
2021-05-01,SULAWESI TENGAH,24919.14,117981.63,4.73
2021-06-01,SULAWESI TENGAH,14673.15,72003.69,4.91
2021-07-01,SULAWESI TENGAH,13912.76,72513.82,5.21
2021-08-01,SULAWESI TENGAH,4444.65,22196.09,4.99
2021-09-01,SULAWESI TENGAH,6566.38,28976.58,4.41
2021-10-01,SULAWESI TENGAH,28413.21,130420.08,4.59
2021-11-01,SULAWESI TENGAH,20983.35,97790.14,4.66
2021-12-01,SULAWESI TENGAH,13019.11,61454.78,4.72
2018-01-01,SULAWESI SELATAN,88348.99,413279.95,4.68
2018-02-01,SULAWESI SELATAN,66948.24,335486.80,5.01
2018-03-01,SULAWESI SELATAN,135015.67,708707.30,5.25
2018-04-01,SULAWESI SELATAN,162020.32,849923.58,5.25
2018-05-01,SULAWESI SELATAN,114190.01,554844.90,4.86
2018-06-01,SULAWESI SELATAN,33732.41,157448.30,4.67
2018-07-01,SULAWESI SELATAN,47378.73,232916.41,4.92
2018-08-01,SULAWESI SELATAN,175635.84,877996.70,5
2018-09-01,SULAWESI SELATAN,219866.88,1073461.62,4.88
2018-10-01,SULAWESI SELATAN,56967.53,292750.95,5.14
2018-11-01,SULAWESI SELATAN,65525.73,357132.46,5.45
2018-12-01,SULAWESI SELATAN,19853.75,98667.48,4.97
2019-01-01,SULAWESI SELATAN,17822.50,85492.19,4.8
2019-02-01,SULAWESI SELATAN,37414.36,185693.75,4.96
2019-03-01,SULAWESI SELATAN,134023.02,679185.28,5.07
2019-04-01,SULAWESI SELATAN,164718.66,809611.08,4.92
2019-05-01,SULAWESI SELATAN,106757.39,513983.35,4.81
2019-06-01,SULAWESI SELATAN,32541.60,152008.50,4.67
2019-07-01,SULAWESI SELATAN,50932.26,247545.88,4.86
2019-08-01,SULAWESI SELATAN,206438.64,974677.51,4.72
2019-09-01,SULAWESI SELATAN,118897.21,634188.91,5.33
2019-10-01,SULAWESI SELATAN,64641.28,351478.07,5.44
2019-11-01,SULAWESI SELATAN,58103.88,330568.61,5.69
2019-12-01,SULAWESI SELATAN,17897.95,89733.83,5.01
2020-01-01,SULAWESI SELATAN,12522.80,54341.44,4.34
2020-02-01,SULAWESI SELATAN,18214.36,84653.31,4.65
2020-03-01,SULAWESI SELATAN,79702.32,373737.15,4.69
2020-04-01,SULAWESI SELATAN,140774.79,669980.12,4.76
2020-05-01,SULAWESI SELATAN,159851.62,713775.64,4.47
2020-06-01,SULAWESI SELATAN,42880.90,188368.52,4.39
2020-07-01,SULAWESI SELATAN,45676.00,201679.77,4.42
2020-08-01,SULAWESI SELATAN,185307.15,813609.39,4.39
2020-09-01,SULAWESI SELATAN,130652.73,695673.43,5.32
2020-10-01,SULAWESI SELATAN,77750.19,430239.91,5.53
2020-11-01,SULAWESI SELATAN,66102.58,388009.03,5.87
2020-12-01,SULAWESI SELATAN,16822.70,94397.26,5.61
2021-01-01,SULAWESI SELATAN,23823.09,109247.27,4.59
2021-02-01,SULAWESI SELATAN,28946.14,143719.90,4.97
2021-03-01,SULAWESI SELATAN,121868.32,613377.97,5.03
2021-04-01,SULAWESI SELATAN,182283.47,919015.78,5.04
2021-05-01,SULAWESI SELATAN,93927.52,497796.79,5.3
2021-06-01,SULAWESI SELATAN,19546.48,100790.87,5.16
2021-07-01,SULAWESI SELATAN,31178.58,155657.99,4.99
2021-08-01,SULAWESI SELATAN,114375.58,554338.31,4.85
2021-09-01,SULAWESI SELATAN,199762.63,1057021.11,5.29
2021-10-01,SULAWESI SELATAN,93951.36,519583.70,5.53
2021-11-01,SULAWESI SELATAN,56980.57,322137.55,5.65
2021-12-01,SULAWESI SELATAN,18514.49,97949.99,5.29
2018-01-01,SULAWESI TENGGARA,11035.00,47142.83,4.27
2018-02-01,SULAWESI TENGGARA,7290.14,30710.19,4.21
2018-03-01,SULAWESI TENGGARA,5236.50,21928.43,4.19
2018-04-01,SULAWESI TENGGARA,11822.24,49323.63,4.17
2018-05-01,SULAWESI TENGGARA,17285.68,64950.60,3.76
2018-06-01,SULAWESI TENGGARA,13682.54,49834.88,3.64
2018-07-01,SULAWESI TENGGARA,13461.68,46582.72,3.46
2018-08-01,SULAWESI TENGGARA,7793.34,29379.57,3.77
2018-09-01,SULAWESI TENGGARA,9866.46,40547.16,4.11
2018-10-01,SULAWESI TENGGARA,18571.75,76183.29,4.1
2018-11-01,SULAWESI TENGGARA,12696.44,50495.71,3.98
2018-12-01,SULAWESI TENGGARA,7931.98,31797.13,4.01
2019-01-01,SULAWESI TENGGARA,8313.45,34320.86,4.13
2019-02-01,SULAWESI TENGGARA,4998.58,20472.82,4.1
2019-03-01,SULAWESI TENGGARA,3931.03,15695.83,3.99
2019-04-01,SULAWESI TENGGARA,13353.58,53018.55,3.97
2019-05-01,SULAWESI TENGGARA,20869.08,71545.81,3.43
2019-06-01,SULAWESI TENGGARA,16776.18,58143.11,3.47
2019-07-01,SULAWESI TENGGARA,9998.75,34114.18,3.41
2019-08-01,SULAWESI TENGGARA,8234.55,29668.67,3.6
2019-09-01,SULAWESI TENGGARA,7419.94,32931.26,4.44
2019-10-01,SULAWESI TENGGARA,19633.32,85634.67,4.36
2019-11-01,SULAWESI TENGGARA,13336.07,59524.56,4.46
2019-12-01,SULAWESI TENGGARA,5479.33,24636.61,4.5
2020-01-01,SULAWESI TENGGARA,8891.51,40967.12,4.61
2020-02-01,SULAWESI TENGGARA,2323.68,10185.47,4.38
2020-03-01,SULAWESI TENGGARA,1115.57,4565.53,4.09
2020-04-01,SULAWESI TENGGARA,8714.74,36955.23,4.24
2020-05-01,SULAWESI TENGGARA,23169.73,82512.86,3.56
2020-06-01,SULAWESI TENGGARA,14577.63,50790.08,3.48
2020-07-01,SULAWESI TENGGARA,12050.63,44277.25,3.67
2020-08-01,SULAWESI TENGGARA,8488.82,32026.03,3.77
2020-09-01,SULAWESI TENGGARA,6192.09,27581.91,4.45
2020-10-01,SULAWESI TENGGARA,24234.20,103111.53,4.25
2020-11-01,SULAWESI TENGGARA,16400.70,67814.76,4.13
2020-12-01,SULAWESI TENGGARA,7537.85,31985.72,4.24
2021-01-01,SULAWESI TENGGARA,5705.98,23748.12,4.16
2021-02-01,SULAWESI TENGGARA,3878.53,17531.36,4.52
2021-03-01,SULAWESI TENGGARA,3184.95,14557.42,4.57
2021-04-01,SULAWESI TENGGARA,15312.39,65191.32,4.26
2021-05-01,SULAWESI TENGGARA,25888.94,103356.04,3.99
2021-06-01,SULAWESI TENGGARA,9563.79,37903.55,3.96
2021-07-01,SULAWESI TENGGARA,6099.23,23517.82,3.86
2021-08-01,SULAWESI TENGGARA,4811.53,20450.24,4.25
2021-09-01,SULAWESI TENGGARA,7993.34,35706.60,4.47
2021-10-01,SULAWESI TENGGARA,20578.19,85795.29,4.17
2021-11-01,SULAWESI TENGGARA,14810.27,62129.07,4.19
2021-12-01,SULAWESI TENGGARA,9690.15,40142.25,4.14
2018-01-01,GORONTALO,8509.17,42111.32,4.95
2018-02-01,GORONTALO,6879.34,33868.85,4.92
2018-03-01,GORONTALO,3791.26,18530.15,4.89
2018-04-01,GORONTALO,4358.70,21931.64,5.03
2018-05-01,GORONTALO,3681.45,17681.66,4.8
2018-06-01,GORONTALO,7828.26,34094.28,4.36
2018-07-01,GORONTALO,7736.61,33801.79,4.37
2018-08-01,GORONTALO,2342.64,10094.95,4.31
2018-09-01,GORONTALO,3583.50,17428.08,4.86
2018-10-01,GORONTALO,3698.88,18636.15,5.04
2018-11-01,GORONTALO,1151.53,5783.35,5.02
2018-12-01,GORONTALO,3070.30,15578.18,5.07
2019-01-01,GORONTALO,3610.21,17948.68,4.97
2019-02-01,GORONTALO,3828.12,19130.66,5
2019-03-01,GORONTALO,8405.53,42719.69,5.08
2019-04-01,GORONTALO,7343.31,36130.48,4.92
2019-05-01,GORONTALO,1469.00,6255.15,4.26
2019-06-01,GORONTALO,4612.36,19131.80,4.15
2019-07-01,GORONTALO,2396.63,10422.79,4.35
2019-08-01,GORONTALO,6994.65,31000.15,4.43
2019-09-01,GORONTALO,5562.36,25275.55,4.54
2019-10-01,GORONTALO,3303.44,16828.82,5.09
2019-11-01,GORONTALO,490.58,2264.04,4.62
2019-12-01,GORONTALO,993.76,4103.30,4.13
2020-01-01,GORONTALO,3616.11,17252.74,4.77
2020-02-01,GORONTALO,2397.86,12364.65,5.16
2020-03-01,GORONTALO,5031.25,26963.13,5.36
2020-04-01,GORONTALO,5231.52,25994.26,4.97
2020-05-01,GORONTALO,3778.85,17438.08,4.61
2020-06-01,GORONTALO,4630.03,21445.09,4.63
2020-07-01,GORONTALO,3733.72,17742.52,4.75
2020-08-01,GORONTALO,4807.36,22293.30,4.64
2020-09-01,GORONTALO,7081.58,29748.71,4.2
2020-10-01,GORONTALO,3030.34,12900.62,4.26
2020-11-01,GORONTALO,1235.27,5255.70,4.25
2020-12-01,GORONTALO,4112.45,18228.40,4.43
2021-01-01,GORONTALO,4448.03,22021.18,4.95
2021-02-01,GORONTALO,7660.55,38464.71,5.02
2021-03-01,GORONTALO,3838.35,19323.97,5.03
2021-04-01,GORONTALO,3379.78,17432.71,5.16
2021-05-01,GORONTALO,5583.60,28005.39,5.02
2021-06-01,GORONTALO,3316.13,14817.35,4.47
2021-07-01,GORONTALO,3572.02,14842.58,4.16
2021-08-01,GORONTALO,5773.96,24940.60,4.32
2021-09-01,GORONTALO,2897.50,13242.76,4.57
2021-10-01,GORONTALO,6184.32,31683.94,5.12
2021-11-01,GORONTALO,1406.94,6580.67,4.68
2021-12-01,GORONTALO,652.32,3037.00,4.66
2018-01-01,SULAWESI BARAT,2172.33,8785.10,4.04
2018-02-01,SULAWESI BARAT,6667.09,31857.10,4.78
2018-03-01,SULAWESI BARAT,14571.96,79065.03,5.43
2018-04-01,SULAWESI BARAT,7163.27,34552.68,4.82
2018-05-01,SULAWESI BARAT,2791.63,11964.34,4.29
2018-06-01,SULAWESI BARAT,3041.81,12525.31,4.12
2018-07-01,SULAWESI BARAT,5247.68,24076.86,4.59
2018-08-01,SULAWESI BARAT,14498.96,73589.85,5.08
2018-09-01,SULAWESI BARAT,4458.27,20814.64,4.67
2018-10-01,SULAWESI BARAT,1804.62,7705.25,4.27
2018-11-01,SULAWESI BARAT,1854.14,7309.40,3.94
2018-12-01,SULAWESI BARAT,1032.02,4232.81,4.1
2019-01-01,SULAWESI BARAT,2260.49,9057.77,4.01
